"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Haben Sie schon einmal mit einem Unternehmen in Social Media interagiert? ","Bitte bewerten Sie die folgende Aussage. [Mir ist es wichtig, mit Unternehmen in Social Media interagieren zu können.]","Kennen Sie das Fediverse?","Nutzen Sie das Fediverse? ","Wofür nutzen Sie das Fediverse?    [Mit Freunden und Familie in Kontakt bleiben]","Wofür nutzen Sie das Fediverse?    [Neue Stories lesen]","Wofür nutzen Sie das Fediverse?    [Auffinden von Content]","Wofür nutzen Sie das Fediverse?    [Diskussionsthemen finden]","Wofür nutzen Sie das Fediverse?    [Unternehmungen finden]","Wofür nutzen Sie das Fediverse?    [Produkte finden]","Wofür nutzen Sie das Fediverse?    [Teilen und Diskutieren von Meinungen]","Wofür nutzen Sie das Fediverse?    [Neue Kontakte knüpfen]","Wofür nutzen Sie das Fediverse?    [Arbeitsbezogenes Networking oder Nachforschen]","Wofür nutzen Sie das Fediverse?    [Berühmten Persönlichkeiten oder Influencern folgen]","Wofür nutzen Sie das Fediverse?    [Posts über das eigene Leben verfassen]","Weshalb nutzen Sie das Fediverse nicht?  [Kein Interesse]","Weshalb nutzen Sie das Fediverse nicht?  [Zu kompliziert]","Weshalb nutzen Sie das Fediverse nicht?  [Die Plattformen gefallen mir nicht]","Weshalb nutzen Sie das Fediverse nicht?  [Mir fehlen Funktionen]","Weshalb nutzen Sie das Fediverse nicht?  [Zu wenig Nutzer]","Weshalb nutzen Sie das Fediverse nicht?  [Ich finde keinen passenden Content]","Weshalb nutzen Sie das Fediverse nicht?  [Sicherheitsbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Datenschutzbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Noch nicht eingehend damit beschäftigt]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass größere Transparenz bei der Anwendung, den Protokollen und dem Datenaustausch gegeben ist.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge eine Plattform, bei der Daten und Kontrolle auf viele verschiedene Gruppen verteilt sind, anstatt eine Plattform, bei der alles von einer einzigen Organisation kontrolliert wird.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass hohe Datenschutzstandards eingehalten werden.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge einen Account für alle Plattformen, statt je Plattform einen eigenen Account zu haben.]","Bewerten Sie bitte die folgenden Aussagen. [Social-Media-Plattformen sollten durch den Verkauf von Nutzerdaten oder Werbung monetarisiert werden.]","Bewerten Sie bitte die folgenden Aussagen. [Dem Einsatz von algorithmischen Ranking-Systemen zur Priorisierung von Content stehe ich positiv gegenüber.]","Bewerten Sie bitte die folgenden Aussagen. [Ich stehe Unternehmen positiv gegenüber, die auf Social Media Marketing, Verkauf und Service anbieten.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bewerte die Übernahmemöglichkeit von Social-Media-Plattformen durch andere Unternehmen als positiv.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass politische Unabhängigkeit und Neutralität gegeben sind.]","Wie wünschenswert ist es Ihrer Meinung nach, dass im Fediverse mehr Unternehmen repräsentiert sind, um mit Ihnen zu interagieren?","Wie alt sind Sie?","Welchem Geschlecht fühlen Sie sich zugehörig? ","Was ist derzeitiger Berufsstatus?"
"1","1980-01-01 00:00:00","6","de","38546296","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme nicht zu","Weder noch","Stimme zu","Weder noch","Stimme zu","Weder noch","25 - 34","Keine Angabe","Angestellt (Teilzeit)"
"2","","","de","162215544","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"3","1980-01-01 00:00:00","6","de","2109968150","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Weder noch","Stimme eher zu","Stimme nicht zu","Weder noch","Stimme zu","Stimme nicht zu","Weder noch","Stimme zu","Weder noch","35 - 44","Männlich","Angestellt (Vollzeit)"
"4","1980-01-01 00:00:00","6","de","16287320","Ja","Stimme nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Stimme nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu","Weder noch","Eher wünschenswert","18 - 24","Männlich","Student/in"
"5","","3","de","1330777559","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Weder noch","Weder noch","Weder noch","","","","","","","","",""
"6","","","de","1802337836","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"7","","","de","1238501288","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"8","","2","de","250705636","Ja","Stimme nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","","","","","","","","","","","","",""
"9","1980-01-01 00:00:00","6","de","1303618931","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Weder noch","Stimme überhaupt nicht zu","Stimme eher zu","Eher wünschenswert","25 - 34","Männlich","Student/in"
"10","","3","de","2019678723","Nein","Stimme nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Stimme zu","Weder noch","Stimme zu","Stimme voll und ganz zu","","","","","","","","",""
"11","","2","de","856671358","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"12","","2","de","2104101786","Ja","Stimme voll und ganz zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","","","","","","","","","","","",""
"13","","1","de","20139159","Ja","Stimme zu","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"14","1980-01-01 00:00:00","6","de","1316207226","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"15","1980-01-01 00:00:00","6","de","166277162","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Weder noch","Weder noch","Weder noch","Stimme eher zu","Stimme eher zu","Weder noch","25 - 34","Divers","Angestellt (Teilzeit)"
"16","","2","de","263557246","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"17","1980-01-01 00:00:00","6","de","424954869","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Weder noch","Stimme zu","Stimme eher nicht zu","Stimme eher zu","Weder noch","18 - 24","Weiblich","Student/in"
"18","1980-01-01 00:00:00","6","de","228750322","Nein","Stimme voll und ganz zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Weder noch","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"19","1980-01-01 00:00:00","6","de","1352021569","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme zu","Weder noch","Stimme zu","Eher nicht wünschenswert","55 - 64","Weiblich","Angestellt (Vollzeit)"
"20","1980-01-01 00:00:00","6","de","711479955","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Überhaupt nicht wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"21","1980-01-01 00:00:00","6","de","1209127316","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme nicht zu","Stimme nicht zu","Stimme eher nicht zu","Stimme nicht zu","Stimme zu","Eher nicht wünschenswert","45 - 54","Männlich","Selbstständig"
"22","1980-01-01 00:00:00","6","de","695067103","Ja","Weder noch","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme eher zu","Weder noch","Stimme eher zu","Weder noch","Stimme nicht zu","Weder noch","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"23","1980-01-01 00:00:00","6","de","1309088161","Ja","Stimme eher zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme nicht zu","Weder noch","Stimme zu","Stimme eher zu","Weder noch","Stimme voll und ganz zu","Wünschenswert","25 - 34","Männlich","Angestellt (Teilzeit)"
"24","1980-01-01 00:00:00","6","de","1557439702","Ja","Stimme nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Ja","Ja","Nein","Nein","Ja","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Weder noch","Stimme eher zu","Stimme zu","Eher wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"25","","1","de","1510172099","Ja","Stimme eher nicht zu","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"26","1980-01-01 00:00:00","6","de","761305252","Ja","Stimme eher nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme eher nicht zu","Weder noch","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Weder noch","Stimme zu","Wünschenswert","25 - 34","Männlich","Student/in"
"27","1980-01-01 00:00:00","6","de","750220165","Nein","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Weder noch","Weder noch","Weder noch","Weder noch","Weder noch","Weder noch","Weder noch","Weder noch","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"28","1980-01-01 00:00:00","6","de","1668478909","Nein","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","Stimme überhaupt nicht zu","Weder noch","Stimme nicht zu","Stimme nicht zu","Stimme zu","Eher wünschenswert","55 - 64","Männlich","Angestellt (Vollzeit)"
"29","1980-01-01 00:00:00","6","de","372563925","Nein","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme überhaupt nicht zu","Weder noch","Weder noch","Weder noch","Stimme voll und ganz zu","Weder noch","55 - 64","Weiblich","Keine Angabe"
"30","1980-01-01 00:00:00","6","de","1037280220","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme nicht zu","Weder noch","Weder noch","Stimme eher nicht zu","Stimme zu","Weder noch","25 - 34","Weiblich","Angestellt (Vollzeit)"
"31","1980-01-01 00:00:00","6","de","1587984160","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme voll und ganz zu","Weder noch","18 - 24","Männlich","Schüler/in"
"32","","2","de","1844907787","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"33","1980-01-01 00:00:00","6","de","1770412069","Ja","Weder noch","Ja","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Weder noch","Stimme eher nicht zu","Weder noch","Stimme überhaupt nicht zu","Stimme eher zu","Weder noch","45 - 54","Männlich","Angestellt (Vollzeit)"
"34","1980-01-01 00:00:00","6","de","1557506801","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme nicht zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Wünschenswert","45 - 54","Männlich","Angestellt (Vollzeit)"
"35","1980-01-01 00:00:00","6","de","1537580488","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme zu","Stimme zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"36","1980-01-01 00:00:00","6","de","349423945","Nein","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher nicht zu","Stimme zu","Stimme eher zu","Stimme nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Weder noch","35 - 44","Männlich","Angestellt (Vollzeit)"
"37","","","de","117825224","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"38","1980-01-01 00:00:00","6","de","115270610","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Weder noch","Stimme voll und ganz zu","Sehr wünschenswert","18 - 24","Männlich","Student/in"
"39","1980-01-01 00:00:00","6","de","1312445046","Ja","Stimme eher nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Weder noch","Sehr wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"40","1980-01-01 00:00:00","6","de","315070461","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Weder noch","Weder noch","Stimme eher zu","Weder noch","Weder noch","Stimme eher zu","Weder noch","Weder noch","Weder noch","25 - 34","Weiblich","Angestellt (Vollzeit)"
"41","1980-01-01 00:00:00","6","de","761089602","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme zu","Weder noch","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu","Stimme zu","Weder noch","35 - 44","Männlich","Angestellt (Vollzeit)"
"42","1980-01-01 00:00:00","6","de","993419290","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme zu","Weder noch","Stimme eher nicht zu","Weder noch","Weder noch","Stimme eher nicht zu","Stimme eher zu","Eher wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"43","1980-01-01 00:00:00","6","de","1390441242","Nein","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme überhaupt nicht zu","Weder noch","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Weder noch","Stimme überhaupt nicht zu","Überhaupt nicht wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"44","","2","de","865592517","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"45","1980-01-01 00:00:00","6","de","264345992","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme zu","Stimme zu","Weder noch","Stimme voll und ganz zu","Eher wünschenswert","35 - 44","Weiblich","Angestellt (Vollzeit)"
"46","1980-01-01 00:00:00","6","de","1776623672","Nein","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","35 - 44","Weiblich","Angestellt (Vollzeit)"
"47","1980-01-01 00:00:00","6","de","1622774267","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Weder noch","Stimme zu","Weder noch","Weder noch","Stimme voll und ganz zu","Wünschenswert","45 - 54","Männlich","Angestellt (Vollzeit)"
