"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Haben Sie schon einmal mit einem Unternehmen in Social Media interagiert? ","Bitte bewerten Sie die folgende Aussage. [Mir ist es wichtig, mit Unternehmen in Social Media interagieren zu können.]","Kennen Sie das Fediverse?","Nutzen Sie das Fediverse? ","Wofür nutzen Sie das Fediverse?    [Mit Freunden und Familie in Kontakt bleiben]","Wofür nutzen Sie das Fediverse?    [Neue Stories lesen]","Wofür nutzen Sie das Fediverse?    [Auffinden von Content]","Wofür nutzen Sie das Fediverse?    [Diskussionsthemen finden]","Wofür nutzen Sie das Fediverse?    [Unternehmungen finden]","Wofür nutzen Sie das Fediverse?    [Produkte finden]","Wofür nutzen Sie das Fediverse?    [Teilen und Diskutieren von Meinungen]","Wofür nutzen Sie das Fediverse?    [Neue Kontakte knüpfen]","Wofür nutzen Sie das Fediverse?    [Arbeitsbezogenes Networking oder Nachforschen]","Wofür nutzen Sie das Fediverse?    [Berühmten Persönlichkeiten oder Influencern folgen]","Wofür nutzen Sie das Fediverse?    [Posts über das eigene Leben verfassen]","Weshalb nutzen Sie das Fediverse nicht?  [Kein Interesse]","Weshalb nutzen Sie das Fediverse nicht?  [Zu kompliziert]","Weshalb nutzen Sie das Fediverse nicht?  [Die Plattformen gefallen mir nicht]","Weshalb nutzen Sie das Fediverse nicht?  [Mir fehlen Funktionen]","Weshalb nutzen Sie das Fediverse nicht?  [Zu wenig Nutzer]","Weshalb nutzen Sie das Fediverse nicht?  [Ich finde keinen passenden Content]","Weshalb nutzen Sie das Fediverse nicht?  [Sicherheitsbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Datenschutzbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Noch nicht eingehend damit beschäftigt]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass größere Transparenz bei der Anwendung, den Protokollen und dem Datenaustausch gegeben ist.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge eine Plattform, bei der Daten und Kontrolle auf viele verschiedene Gruppen verteilt sind, anstatt eine Plattform, bei der alles von einer einzigen Organisation kontrolliert wird.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass hohe Datenschutzstandards eingehalten werden.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge einen Account für alle Plattformen, statt je Plattform einen eigenen Account zu haben.]","Bewerten Sie bitte die folgenden Aussagen. [Social-Media-Plattformen sollten durch den Verkauf von Nutzerdaten oder Werbung monetarisiert werden.]","Bewerten Sie bitte die folgenden Aussagen. [Dem Einsatz von algorithmischen Ranking-Systemen zur Priorisierung von Content stehe ich positiv gegenüber.]","Bewerten Sie bitte die folgenden Aussagen. [Ich stehe Unternehmen positiv gegenüber, die auf Social Media Marketing, Verkauf und Service anbieten.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bewerte die Übernahmemöglichkeit von Social-Media-Plattformen durch andere Unternehmen als positiv.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass politische Unabhängigkeit und Neutralität gegeben sind.]","Wie wünschenswert ist es Ihrer Meinung nach, dass im Fediverse mehr Unternehmen repräsentiert sind, um mit Ihnen zu interagieren?","Wie alt sind Sie?","Welchem Geschlecht fühlen Sie sich zugehörig? ","Was ist derzeitiger Berufsstatus?"
"48","","","de","1597511862","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"49","1980-01-01 00:00:00","6","de","2032431337","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme zu","Stimme zu","Stimme eher nicht zu","Stimme voll und ganz zu","Eher wünschenswert","45 - 54","Weiblich","Angestellt (Vollzeit)"
"50","1980-01-01 00:00:00","6","de","1189784760","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme überhaupt nicht zu","Weder noch","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher zu","Eher nicht wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"51","1980-01-01 00:00:00","6","de","1863608147","Ja","Stimme voll und ganz zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Weder noch","Weder noch","Weder noch","Wünschenswert","25 - 34","Männlich","Angestellt (Teilzeit)"
"52","1980-01-01 00:00:00","6","de","1763052164","Ja","Weder noch","Ja","Ja","Nein","Nein","Ja","Ja","Nein","Nein","Ja","Ja","Nein","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme nicht zu","Stimme zu","Sehr wünschenswert","25 - 34","Keine Angabe","Keine Angabe"
"53","1980-01-01 00:00:00","6","de","1965249928","Nein","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","Weder noch","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme zu","Weder noch","25 - 34","Weiblich","Angestellt (Teilzeit)"
"54","1980-01-01 00:00:00","6","de","44080910","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme zu","Weder noch","Stimme nicht zu","Weder noch","Stimme eher zu","Stimme eher nicht zu","Stimme zu","Eher wünschenswert","35 - 44","Weiblich","Angestellt (Vollzeit)"
"55","","","de","752088616","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"56","","","de","1090664522","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"57","1980-01-01 00:00:00","6","de","576134695","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme eher nicht zu","Weder noch","Weder noch","Stimme zu","Eher nicht wünschenswert","35 - 44","Weiblich","Angestellt (Vollzeit)"
"58","1980-01-01 00:00:00","6","de","1441627713","Ja","Stimme eher nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme zu","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Weder noch","Stimme eher nicht zu","Stimme zu","Weder noch","25 - 34","Weiblich","Angestellt (Teilzeit)"
"59","1980-01-01 00:00:00","6","de","292719941","Ja","Stimme eher zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher nicht zu","Weder noch","Stimme eher nicht zu","Stimme eher zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"60","1980-01-01 00:00:00","6","de","851266741","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Weder noch","Weder noch","Stimme nicht zu","Stimme zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"61","1980-01-01 00:00:00","6","de","1366302289","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme voll und ganz zu","Stimme nicht zu","Stimme nicht zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme eher zu","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"62","1980-01-01 00:00:00","6","de","1695296390","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Weder noch","Stimme überhaupt nicht zu","Stimme eher nicht zu","Weder noch","Stimme eher zu","Stimme voll und ganz zu","Sehr wünschenswert","18 - 24","Männlich","Student/in"
"63","1980-01-01 00:00:00","6","de","350794509","Nein","Stimme nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Weder noch","Stimme voll und ganz zu","Weder noch","Weder noch","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Eher nicht wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"64","","2","de","400102542","Nein","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"65","1980-01-01 00:00:00","6","de","2141980046","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Weder noch","25 - 34","Weiblich","Student/in"
"66","","3","de","464055937","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Weder noch","Stimme eher zu","Stimme eher zu","","","","","","","","",""
"67","1980-01-01 00:00:00","6","de","1633549648","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme zu","Stimme eher zu","Stimme nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Weder noch","Stimme zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"68","1980-01-01 00:00:00","6","de","442523330","Nein","Stimme nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme zu","Weder noch","Stimme nicht zu","Stimme eher nicht zu","Weder noch","Stimme nicht zu","Stimme zu","Weder noch","25 - 34","Weiblich","Keine Angabe"
"69","1980-01-01 00:00:00","6","de","199128186","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Stimme überhaupt nicht zu","Stimme nicht zu","Weder noch","Weder noch","Stimme zu","Sehr wünschenswert","55 - 64","Männlich","Selbstständig"
"70","1980-01-01 00:00:00","6","de","717565118","Ja","Stimme eher zu","Ja","Ja","Ja","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme nicht zu","Weder noch","Stimme nicht zu","Stimme nicht zu","Eher nicht wünschenswert","25 - 34","Männlich","Angestellt (Teilzeit)"
"71","1980-01-01 00:00:00","6","de","873503504","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme nicht zu","Stimme voll und ganz zu","Weder noch","Stimme zu","Wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"72","1980-01-01 00:00:00","6","de","1272015722","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Weder noch","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme zu","Eher nicht wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"73","","","de","42321837","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"74","1980-01-01 00:00:00","6","de","381213363","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme nicht zu","Stimme eher nicht zu","Weder noch","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Eher wünschenswert","18 - 24","Männlich","Student/in"
"75","","","de","789863163","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"76","1980-01-01 00:00:00","6","de","446699121","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Stimme zu","Stimme zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme nicht zu","Weder noch","Stimme eher nicht zu","Stimme zu","Eher nicht wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"77","1980-01-01 00:00:00","6","de","1847055137","Ja","Weder noch","Ja","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Weder noch","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Weder noch","Weder noch","Stimme voll und ganz zu","Weder noch","45 - 54","Männlich","Angestellt (Vollzeit)"
"78","1980-01-01 00:00:00","6","de","78924932","Ja","Stimme eher nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme nicht zu","Stimme nicht zu","Stimme voll und ganz zu","Eher nicht wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"79","1980-01-01 00:00:00","6","de","1804149941","Ja","Stimme eher zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"80","","-1","de","124335525","Nein","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"81","1980-01-01 00:00:00","6","de","183064557","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Weder noch","Stimme eher zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Sehr wünschenswert","18 - 24","Männlich","Auszubildende/r"
"82","1980-01-01 00:00:00","6","de","177484428","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme nicht zu","Stimme eher zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher zu","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"83","","4","de","99388819","Nein","Stimme nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Weder noch","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme nicht zu","Weder noch","Weder noch","Weder noch","Stimme voll und ganz zu","","","",""
"84","1980-01-01 00:00:00","6","de","1154278975","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu","Stimme nicht zu","Stimme voll und ganz zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"85","1980-01-01 00:00:00","6","de","733270058","Ja","Stimme zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme eher zu","Stimme nicht zu","Stimme voll und ganz zu","Wünschenswert","25 - 34","Männlich","Selbstständig"
"86","","4","de","1422414305","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Weder noch","Stimme überhaupt nicht zu","Weder noch","Weder noch","Weder noch","Stimme voll und ganz zu","Überhaupt nicht wünschenswert","","",""
"87","1980-01-01 00:00:00","6","de","1269771626","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Weder noch","Stimme nicht zu","Sehr wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"88","1980-01-01 00:00:00","6","de","1277916138","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Weder noch","Stimme überhaupt nicht zu","Weder noch","Weder noch","Weder noch","Stimme zu","Weder noch","25 - 34","Weiblich","Angestellt (Teilzeit)"
"89","1980-01-01 00:00:00","6","de","753296678","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Weder noch","Stimme zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","Stimme voll und ganz zu","Weder noch","25 - 34","Weiblich","Angestellt (Teilzeit)"
"90","","","de","337521939","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"91","","2","de","186772559","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"92","1980-01-01 00:00:00","6","de","399671948","Ja","Stimme zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Stimme zu","Stimme zu","Stimme voll und ganz zu","Weder noch","Stimme nicht zu","Weder noch","Weder noch","Weder noch","Stimme eher zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"93","1980-01-01 00:00:00","6","de","986060935","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme zu","Stimme eher nicht zu","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","35 - 44","Männlich","Angestellt (Vollzeit)"
"94","1980-01-01 00:00:00","6","de","1929451993","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme nicht zu","Weder noch","Stimme zu","Weder noch","Stimme eher nicht zu","Wünschenswert","45 - 54","Weiblich","Angestellt (Vollzeit)"
"95","1980-01-01 00:00:00","6","de","2146486097","Nein","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme nicht zu","Stimme nicht zu","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Weder noch","25 - 34","Weiblich","Angestellt (Vollzeit)"
"96","","","de","1846977566","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"97","1980-01-01 00:00:00","6","de","705874347","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme eher zu","Weder noch","Stimme nicht zu","Stimme überhaupt nicht zu","Weder noch","Weder noch","Stimme zu","Weder noch","25 - 34","Männlich","Student/in"
"98","1980-01-01 00:00:00","6","de","332633021","Nein","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher nicht zu","Stimme zu","Stimme zu","Stimme nicht zu","Stimme zu","Stimme eher zu","Stimme nicht zu","Stimme zu","Weder noch","45 - 54","Weiblich","Angestellt (Teilzeit)"
"99","1980-01-01 00:00:00","6","de","807030093","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme zu","Stimme nicht zu","Stimme zu","Eher wünschenswert","Unter 18","Männlich","Schüler/in"
"100","1980-01-01 00:00:00","6","de","1481032273","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Eher wünschenswert","18 - 24","Weiblich","Angestellt (Vollzeit)"
"101","1980-01-01 00:00:00","6","de","61571899","Ja","Weder noch","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme nicht zu","Stimme eher zu","Stimme nicht zu","Stimme eher nicht zu","Stimme zu","Weder noch","25 - 34","Männlich","Angestellt (Teilzeit)"
