"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Haben Sie schon einmal mit einem Unternehmen in Social Media interagiert? ","Bitte bewerten Sie die folgende Aussage. [Mir ist es wichtig, mit Unternehmen in Social Media interagieren zu können.]","Kennen Sie das Fediverse?","Nutzen Sie das Fediverse? ","Wofür nutzen Sie das Fediverse?    [Mit Freunden und Familie in Kontakt bleiben]","Wofür nutzen Sie das Fediverse?    [Neue Stories lesen]","Wofür nutzen Sie das Fediverse?    [Auffinden von Content]","Wofür nutzen Sie das Fediverse?    [Diskussionsthemen finden]","Wofür nutzen Sie das Fediverse?    [Unternehmungen finden]","Wofür nutzen Sie das Fediverse?    [Produkte finden]","Wofür nutzen Sie das Fediverse?    [Teilen und Diskutieren von Meinungen]","Wofür nutzen Sie das Fediverse?    [Neue Kontakte knüpfen]","Wofür nutzen Sie das Fediverse?    [Arbeitsbezogenes Networking oder Nachforschen]","Wofür nutzen Sie das Fediverse?    [Berühmten Persönlichkeiten oder Influencern folgen]","Wofür nutzen Sie das Fediverse?    [Posts über das eigene Leben verfassen]","Weshalb nutzen Sie das Fediverse nicht?  [Kein Interesse]","Weshalb nutzen Sie das Fediverse nicht?  [Zu kompliziert]","Weshalb nutzen Sie das Fediverse nicht?  [Die Plattformen gefallen mir nicht]","Weshalb nutzen Sie das Fediverse nicht?  [Mir fehlen Funktionen]","Weshalb nutzen Sie das Fediverse nicht?  [Zu wenig Nutzer]","Weshalb nutzen Sie das Fediverse nicht?  [Ich finde keinen passenden Content]","Weshalb nutzen Sie das Fediverse nicht?  [Sicherheitsbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Datenschutzbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Noch nicht eingehend damit beschäftigt]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass größere Transparenz bei der Anwendung, den Protokollen und dem Datenaustausch gegeben ist.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge eine Plattform, bei der Daten und Kontrolle auf viele verschiedene Gruppen verteilt sind, anstatt eine Plattform, bei der alles von einer einzigen Organisation kontrolliert wird.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass hohe Datenschutzstandards eingehalten werden.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge einen Account für alle Plattformen, statt je Plattform einen eigenen Account zu haben.]","Bewerten Sie bitte die folgenden Aussagen. [Social-Media-Plattformen sollten durch den Verkauf von Nutzerdaten oder Werbung monetarisiert werden.]","Bewerten Sie bitte die folgenden Aussagen. [Dem Einsatz von algorithmischen Ranking-Systemen zur Priorisierung von Content stehe ich positiv gegenüber.]","Bewerten Sie bitte die folgenden Aussagen. [Ich stehe Unternehmen positiv gegenüber, die auf Social Media Marketing, Verkauf und Service anbieten.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bewerte die Übernahmemöglichkeit von Social-Media-Plattformen durch andere Unternehmen als positiv.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass politische Unabhängigkeit und Neutralität gegeben sind.]","Wie wünschenswert ist es Ihrer Meinung nach, dass im Fediverse mehr Unternehmen repräsentiert sind, um mit Ihnen zu interagieren?","Wie alt sind Sie?","Welchem Geschlecht fühlen Sie sich zugehörig? ","Was ist derzeitiger Berufsstatus?"
"102","1980-01-01 00:00:00","6","de","1937377559","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","Stimme nicht zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","Stimme eher zu","Weder noch","18 - 24","Weiblich","Selbstständig"
"103","1980-01-01 00:00:00","6","de","1684497794","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme nicht zu","Stimme zu","Stimme eher nicht zu","Weder noch","Stimme eher zu","Stimme eher zu","Weder noch","Stimme zu","Weder noch","25 - 34","Weiblich","Student/in"
"104","","2","de","1500269153","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"105","1980-01-01 00:00:00","6","de","860294791","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme zu","Stimme nicht zu","Weder noch","Stimme zu","Stimme zu","Stimme nicht zu","Stimme zu","Wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"106","1980-01-01 00:00:00","6","de","1211430231","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme eher zu","Weder noch","Stimme nicht zu","Stimme eher zu","Weder noch","Weder noch","Stimme zu","Weder noch","18 - 24","Weiblich","Student/in"
"107","1980-01-01 00:00:00","6","de","1220417929","Ja","Stimme voll und ganz zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme nicht zu","Stimme eher nicht zu","Weder noch","Weder noch","Stimme zu","Eher wünschenswert","35 - 44","Keine Angabe","Angestellt (Teilzeit)"
"108","1980-01-01 00:00:00","6","de","734180620","Nein","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme zu","Weder noch","Weder noch","Stimme nicht zu","Stimme nicht zu","Weder noch","Stimme voll und ganz zu","Weder noch","18 - 24","Weiblich","Student/in"
"109","1980-01-01 00:00:00","6","de","1056474188","Ja","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Weder noch","Stimme zu","Weder noch","Stimme voll und ganz zu","Eher wünschenswert","18 - 24","Männlich","Student/in"
"110","1980-01-01 00:00:00","6","de","401920720","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Weder noch","Stimme eher zu","Stimme zu","Weder noch","Stimme nicht zu","Weder noch","Stimme eher nicht zu","Stimme zu","Eher wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"111","1980-01-01 00:00:00","6","de","1572362101","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme eher nicht zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme zu","Weder noch","35 - 44","Weiblich","Angestellt (Teilzeit)"
"112","","","de","2125859353","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"113","1980-01-01 00:00:00","6","de","315258428","Ja","Stimme voll und ganz zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme nicht zu","Stimme eher zu","Stimme zu","Stimme nicht zu","Stimme voll und ganz zu","Eher wünschenswert","45 - 54","Männlich","Angestellt (Vollzeit)"
"114","","2","de","47990058","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"115","","2","de","1484821774","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"116","1980-01-01 00:00:00","6","de","300662041","Nein","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Stimme zu","Stimme zu","Stimme zu","Stimme eher zu","Stimme eher nicht zu","Stimme zu","Stimme eher nicht zu","Stimme voll und ganz zu","Weder noch","18 - 24","Weiblich","Student/in"
"117","","","de","2121283417","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"118","1980-01-01 00:00:00","6","de","719336943","Nein","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Weder noch","Stimme zu","Stimme voll und ganz zu","Eher wünschenswert","18 - 24","Weiblich","Student/in"
"119","1980-01-01 00:00:00","6","de","1434668086","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Weder noch","Weder noch","Stimme voll und ganz zu","Weder noch","25 - 34","Divers","Angestellt (Vollzeit)"
"120","1980-01-01 00:00:00","6","de","1701907668","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme zu","Eher wünschenswert","35 - 44","Weiblich","Angestellt (Teilzeit)"
"121","1980-01-01 00:00:00","6","de","752034759","Ja","Stimme voll und ganz zu","Ja","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Weder noch","Stimme voll und ganz zu","Weder noch","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Eher nicht wünschenswert","45 - 54","Männlich","Angestellt (Vollzeit)"
"122","1980-01-01 00:00:00","6","de","1314409535","Ja","Stimme eher nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Stimme zu","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Stimme nicht zu","Stimme eher nicht zu","Weder noch","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"123","1980-01-01 00:00:00","6","de","1311005422","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Überhaupt nicht wünschenswert","45 - 54","Männlich","Angestellt (Vollzeit)"
"124","1980-01-01 00:00:00","6","de","482578990","Nein","Stimme nicht zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Überhaupt nicht wünschenswert","45 - 54","Männlich","Angestellt (Vollzeit)"
"125","1980-01-01 00:00:00","6","de","1804530039","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Eher wünschenswert","18 - 24","Weiblich","Student/in"
"126","","","de","1501231092","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"127","1980-01-01 00:00:00","6","de","517574298","Ja","Stimme zu","Ja","Ja","Nein","Ja","Ja","Ja","Nein","Nein","Ja","Ja","Nein","Ja","Ja","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme nicht zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme zu","Sehr wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"128","","2","de","1905226978","Ja","Stimme voll und ganz zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"129","1980-01-01 00:00:00","6","de","1802413877","Nein","Stimme eher zu","Ja","Ja","Nein","Nein","Ja","Ja","Nein","Nein","Ja","Ja","Nein","Nein","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme nicht zu","Weder noch","Stimme eher nicht zu","Stimme voll und ganz zu","Wünschenswert","45 - 54","Weiblich","Keine Angabe"
"130","1980-01-01 00:00:00","6","de","692135055","Ja","Stimme eher zu","Ja","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Weder noch","Stimme nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme nicht zu","Stimme voll und ganz zu","Eher wünschenswert","25 - 34","Weiblich","Arbeitssuchend"
"131","1980-01-01 00:00:00","6","de","914344297","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme nicht zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Teilzeit)"
"132","","","de","801685648","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"133","1980-01-01 00:00:00","6","de","2133614954","Nein","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu","Weder noch","Stimme eher zu","Weder noch","35 - 44","Weiblich","Angestellt (Vollzeit)"
"134","1980-01-01 00:00:00","6","de","1018887802","Ja","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme zu","Weder noch","Stimme eher nicht zu","Stimme eher zu","Weder noch","Weder noch","Stimme zu","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"135","1980-01-01 00:00:00","6","de","404488802","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme nicht zu","Stimme zu","Stimme nicht zu","Stimme zu","Stimme eher zu","Weder noch","Stimme zu","Stimme zu","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"136","1980-01-01 00:00:00","6","de","45968793","Nein","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Weder noch","Stimme nicht zu","Weder noch","Stimme eher nicht zu","Stimme nicht zu","Stimme voll und ganz zu","Wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"137","1980-01-01 00:00:00","6","de","805198993","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme nicht zu","Stimme eher nicht zu","Stimme zu","Weder noch","Stimme zu","Wünschenswert","45 - 54","Männlich","Angestellt (Vollzeit)"
"138","1980-01-01 00:00:00","6","de","414705402","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme eher zu","Stimme zu","Stimme eher nicht zu","Stimme nicht zu","Weder noch","Weder noch","Stimme zu","Wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"139","1980-01-01 00:00:00","6","de","998138957","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme nicht zu","Stimme eher zu","Stimme zu","Stimme nicht zu","Stimme zu","Wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"140","","3","de","1479966252","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Weder noch","Stimme zu","Stimme zu","","","","","","","","",""
"141","","","de","114210722","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"142","1980-01-01 00:00:00","6","de","847798673","Nein","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Weder noch","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Weder noch","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Weder noch","25 - 34","Weiblich","Angestellt (Teilzeit)"
"143","1980-01-01 00:00:00","6","de","143617310","Nein","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme nicht zu","Weder noch","Stimme eher zu","Stimme eher zu","Stimme eher zu","Eher wünschenswert","18 - 24","Weiblich","Student/in"
"144","1980-01-01 00:00:00","6","de","736512300","Ja","Stimme eher zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme zu","Stimme nicht zu","Stimme nicht zu","Stimme nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"145","","","de","1957766826","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"146","1980-01-01 00:00:00","6","de","2143992416","Nein","Stimme eher nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Weder noch","Stimme eher zu","Weder noch","Stimme nicht zu","Stimme nicht zu","Weder noch","Stimme eher nicht zu","Stimme zu","Weder noch","25 - 34","Männlich","Angestellt (Teilzeit)"
"147","1980-01-01 00:00:00","6","de","945082591","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Stimme eher zu","Stimme voll und ganz zu","Weder noch","Weder noch","Weder noch","Stimme eher zu","Weder noch","Stimme zu","Weder noch","25 - 34","Männlich","Angestellt (Vollzeit)"
"148","1980-01-01 00:00:00","6","de","1273992956","Ja","Stimme voll und ganz zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme nicht zu","Stimme zu","Stimme eher nicht zu","Stimme zu","Stimme nicht zu","Stimme voll und ganz zu","Wünschenswert","25 - 34","Männlich","Angestellt (Vollzeit)"
"149","1980-01-01 00:00:00","6","de","1112077433","Ja","Stimme zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme zu","Eher wünschenswert","25 - 34","Weiblich","Angestellt (Vollzeit)"
"150","","4","de","2058784464","Nein","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Weder noch","Weder noch","Stimme voll und ganz zu","Stimme voll und ganz zu","Weder noch","Stimme eher zu","Weder noch","Weder noch","Stimme zu","","","",""
"151","","","de","1134741557","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","",""
"152","1980-01-01 00:00:00","6","de","1912745632","Nein","Stimme überhaupt nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme voll und ganz zu","Überhaupt nicht wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"153","1980-01-01 00:00:00","6","de","832906458","Nein","Stimme nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme nicht zu","Stimme zu","Weder noch","Stimme eher nicht zu","Stimme eher zu","Stimme nicht zu","Stimme eher nicht zu","Weder noch","Weder noch","18 - 24","Weiblich","Angestellt (Vollzeit)"
"154","1980-01-01 00:00:00","6","de","400370572","Nein","Stimme nicht zu","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Weder noch","Stimme nicht zu","Stimme eher nicht zu","Stimme nicht zu","Stimme nicht zu","Stimme zu","Wünschenswert","35 - 44","Männlich","Angestellt (Vollzeit)"
"155","1980-01-01 00:00:00","6","de","1548062987","Ja","Weder noch","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme nicht zu","Stimme nicht zu","Stimme eher nicht zu","Weder noch","Stimme voll und ganz zu","Weder noch","25 - 34","Weiblich","Angestellt (Vollzeit)"
"156","1980-01-01 00:00:00","6","de","1482609070","Ja","Stimme nicht zu","Ja","Ja","Nein","Ja","Ja","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme nicht zu","Stimme voll und ganz zu","Weder noch","35 - 44","Männlich","Angestellt (Vollzeit)"

